Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
97.3.559,numismatique;gaulois;archéologie,potin,,potin de Gaule Belgique,SUESSIONS (émetteur),,,4e quart 2e siècle av JC;1ère moitié 1er siècle av JC,,,Tène finale,échange ; commerce,,,"D. 20,5 mm ; Pds. 4,58",alliage cuivreux,,"France ; Aisne ; Villeneuve-Saint-Germain ; 'Les Grêves' ; (DEBORD J. ; ERA 12, découvreur) ; (années 1980, date de découverte)","figure (tête, de profil, annelet) ; représentation animalière (cheval, croix)",,,propriété de la commune ; dévolution ; Soissons ; musée de Soissons,1989,,,M0794020353,Soissons;musée de Soissons,M0794,2012-05-25,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Soissons,"49.38088,3.322158"
97.3.483,numismatique;gaulois;archéologie,potin,,potin de Gaule Belgique,SUESSIONS (émetteur),,,4e quart 2e siècle av JC;1ère moitié 1er siècle av JC,,,Tène finale,échange ; commerce,,,"D. 19 mm ; Pds. 3,20",alliage cuivreux,,"France ; Aisne ; Villeneuve-Saint-Germain ; 'Les Grêves' ; (DEBORD J. ; ERA 12, découvreur) ; (années 1980, date de découverte)","ornementation (swastika) ; représentation animalière (cheval, annelet, croix, globule)",,,propriété de la commune ; dévolution ; Soissons ; musée de Soissons,1989,,,M0794020413,Soissons;musée de Soissons,M0794,2012-05-25,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Soissons,"49.38088,3.322158"
97.3.484,numismatique;gaulois;archéologie,potin,,potin de Gaule Belgique,SUESSIONS (émetteur),,,4e quart 2e siècle av JC;1ère moitié 1er siècle av JC,,,Tène finale,échange ; commerce,,,"D. 19 mm ; Pds. 3,60",alliage cuivreux,,"France ; Aisne ; Villeneuve-Saint-Germain ; 'Les Grêves' ; (DEBORD J. ; ERA 12, découvreur) ; (années 1980, date de découverte)","ornementation (swastika) ; représentation animalière (cheval, annelet, croix, globule)",,,propriété de la commune ; dévolution ; Soissons ; musée de Soissons,1989,,,M0794020414,Soissons;musée de Soissons,M0794,2012-05-25,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Soissons,"49.38088,3.322158"
Gr. 781 ; 77.1.8 (N° muséographique),estampe,,,Les deux bouquets,CATHELIN Bernard,"Paris, 1919 ; Paris, 2004",,3e quart 20e siècle,1969,,,,,,H. 46 ; L. 85,chromolithographie,,,"nature morte (bouquet, fleur, vase)",,,propriété de la commune ; don ; Valence ; musée des beaux-arts,1976,,,09880002637,Valence;musée des beaux-arts,M0988,2004-11-24,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Valence,"44.932441,4.890048"
2009.6,céramique,assiette,,Weber (Nom de décor),manufacture de Sarreguemines (manufacture),,"France, Lorraine, Moselle, Sarreguemines (lieu d'exécution)",2e quart 20e siècle,1940 entre ; 1945 et,,,consommation des aliments,,,Diamètre en cm 19.7,céramique;impression;glaçure transparente incolore,,,"représentation végétale (rose, fleur)",,,propriété de la commune ; don ; Sarreguemines ; musée de la Faïence,2008,,,05330015534,Sarreguemines;musée de la Faïence,M0533,2014-03-28,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Sarreguemines,"49.110316,7.066637"
MV 1212 ; INV 2750 ; LP 1674,peinture,tableau,,"FRANCOIS-SEVERIN MARCEAU, GENERAL EN CHEF DE L'ARMEE DE L'OUEST (1769-1796)",BOUCHOT François,"Paris, 1800 ; Paris, 1842",,2e quart 19e siècle,1835,,,,,,71 H ; 52 L,peinture à l'huile;toile,,,"figure (Marceau François Séverin, homme, en buste, de trois-quarts, général)",,,propriété de l'Etat ; achat après commande ; musée national des Châteaux de Versailles et de Trianon,1835,1907,,000PE006420,Paris;musée de l'armée,M5025,,1994-01-03,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Musée de l'Armée,Paris,"48.8589,2.3469"
P0857 ; RF1964-PRO.10 (n° musée d'Orsay),peinture,tableau,,Nature morte aux oignons,CHRETIEN René Louis,"Choisy-le-Roi, 1867 ; Rochefort-en-Yvelines, 1945#Il peint dés l'âge de douze ans comme élève de son père, puis devient élève de Bonnat. il obtient la médaille d'argent à l'exposition Universelle de 1900 (coin d'Office toile monumentale, don Rothschild au Musée de Grenoble ou elle est exposée aujourd'hui) et expose dans tous les salons régulièrement à Paris et ailleurs entre 1895 et 1940.#Il a peint des paysages, des natures mortes, portraits et marines et a été le professeur de nombreux peintres dont le peintre brésilien Pedro Alexandrino Borges Portrait par RL Chrétien exposé à la Pinacothèque Nationale de Sao Paulo, ainsi qu'une nature morte ).#Il est représenté au Musée de Liège en Belgique et au Musée d'Auckland en Nouvelle Zelande, exposition sur le goût dans la peinture fin 2010.#Exposition au musée de Honfleur, et catalogue : 'les peintres de la vie silencieuse au XIX eme siècle' Musée Eugène Boudin 1995.#Il est présent au musée de Caen, d'Amiens, de Dijon, de Grenoble,et de Saint Etienne où se trouve son oeuvre monumentale 'Retour des pêcheuses de crevettes à Grancamp' qui vient d'être restaurée",,4e quart 19e siècle;1er quart 20e siècle,1900 vers,,,,,,H : 33 ; l : 41,"peinture à l'huile, toile",,,"nature morte (oignon, marmite, cuivre)",,,propriété de l'Etat ; mode d'acquisition inconnu ; musée d'Orsay,1964,1976,,06550000041,Bayeux;MAHB - Musée dArt et dHistoire Baron Gérard,M0655,2011-06-08,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,dépôt ; Bayeux ; musée Baron Gérard,Bayeux,"49.277733,-0.704269"
38.32.2 ; 38.32.2.1 soupière ; 38.32.2.2 couvercle,céramique,terrine,,Chou au naturel (Trompe l'oeil),manufacture de Sceaux (manufacture),manufacture de Sceaux : faïence et porcelaine,"France, Ile-de-France, Hauts-de-Seine, Sceaux (lieu de création)",2e quart 18e siècle;3e quart 18e siècle,1748 entre ; 1763 et,,,,,,H. 21 cm ; H. 16 cm (sans couvercle) ; L. 38.5 cm,"faïence stannifère, décor de petit feu (polychrome)",,,représentation végétale (chou),,,propriété du département ; affectation ; Hauts-de-Seine ; musée de l'Ile de France,1938,,,04170004201,Sceaux;musée de l'Ile de France,M0417,2011-06-17,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,"France, Sceaux",,Sceaux,"48.777681,2.28964"
2010.11.1 ; N.III.38,cartes - plans;marine,carte géographique,carte marine,Carte des Isles de Saint Pierre et Miquelon (...),"FORTIN (ingénieur, géographe) ; BELLIN Jacques Nicolas (cartographe, hydrographe)",,France (lieu de création),3e quart 18e siècle,1763 édité en,,,navigation,,,"L. 93 cm ; H. 64,5 cm","papier (imprimé, gravé)",,,représentation scientifique (carte : Saint-Pierre-et-Miquelon),,,propriété de la commune ; achat ; Saint Malo ; musée d'Histoire de Saint-Malo,1970 avant,,,M0214009944,Saint-Malo;musée d'Histoire de Saint-Malo,M0214,2011-04-22,2012-02-03,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Saint-Malo,"48.646653,-2.009511"
"LT 15 ; 56 (Inv. 1849, n°) ; 7 (Cat. Fleury-Brière, 1954, n°)",dessin,,,Mademoiselle de Chastagner de Lagrange,DE LA TOUR Maurice Quentin (pastelliste),"DE LA TOUR : Saint-Quentin, 1704/09/05 ; Saint-Quentin, 1788/02/16 ; nationalité : Française",,18e siècle,,,,,,,Hauteur de la vue en m 0.375 ; Largeur de la vue en m 0.297 ; Hauteur avec cadre en m 0.555 ; Largeur avec cadre en m 0.475 ; Epaisseur avec cadre en m 0.045,"pastel, papier",,,"portrait (Chastagner de Lagrange Mlle de, femme, tête, de trois-quarts, sourire)",,,propriété de la commune ; legs ; Saint-Quentin ; musée Antoine Lécuyer ; classé MH,2003 entrée matérielle,,,07930000204,Saint-Quentin;musée Antoine Lécuyer,M0793,2012-07-10,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Saint-Quentin,"49.847362,3.28481"
2016.1.136 ; NUM-39 (numéro d'isolation de l'opérateur) ; 0000.4.136 (numéro d'inventaire temporaire),archéologie;gallo-romain;numismatique;commerce - économie - finances;croyances - coutumes,pièce de monnaie;as,,as de Vespasien,VESPASIEN (émetteur),,,3e quart 1er siècle;4e quart 1er siècle,69 entre ; 81 et,,haut-empire,commerce (utilisation primaire) ; pratique funéraire (utilisation secondaire),,,"E. 0,2 cm ; D. 2,6 cm (dimensions d'encombrement)",alliage cuivreux (frappé),,"France ; Ile-de-France ; Val-dOise ; Louvres (ZAC du Parc, Parc du Château, rue de Paris, lieu de découverte)",,,,propriété de la communauté d'agglomération ; cession à titre gratuit ; communauté d'agglomération Roissy Pays de France ; ARCHEA Archéologie en Pays de France,2016/11/07,,,M0436032741,Louvres;ARCHEA Archéologie en Pays de France,M0436,2018-06-15,2018-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Louvres,"49.043159,2.504859"
991.2.174 ; 202 (Pré inventaire vente Cottin) ; 2005.01.00174D (Récolement 2004/2005),estampe,,,"Femme au fagot ; En Normandie, vieille femme ramassant du bois (autre titre)","VAUCANU Emile (dessinateur, graveur)","VAUCANU : Bernay, 1864 ; Caucase, 1896 ; nationalité : Française",,4e quart 19e siècle,1886,,,,,,Hauteur de la feuille en cm 31.8 ; Largeur de la feuille en cm 25.2 ; Hauteur cuvette en cm 20.4 ; Largeur cuvette en cm 14.1,"eau-forte, papier, pointe sèche",,,"portrait (femme, paysannerie, branche, bois)",,,propriété de la commune ; achat avec participation du FRAM ; Bernay ; musée des beaux-arts,1991,,,07010003562,Bernay;musée des beaux-arts,M0701,2015-10-16,,,France,,Bernay,"49.088502,0.597071"
2010.0.245 ; 303 (Autre numéro) ; R35 (Ancien numéro de classement),estampe,,,La famille impériale (Napoléon III),THIEBAULT Jean-Baptiste ; LACOUR (imprimeur),,"France, Nancy (lieu d'impression)",,,,,,,,H. en cm 64 ; L. en cm 48.5,"gravure, papier",,,"portrait collectif (Napoléon III, Napoléon Ier, aigle, couronne, empereur, sceptre, couronne : laurier, impératrice)",,,propriété de la commune ; mode d'acquisition inconnu ; Auxonne ; musée Bonaparte,,,,01320017022,Auxonne;musée Bonaparte,M0132,2012-01-23,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Auxonne,"47.193906,5.386985"
2010.0.305 ; 154 (Ancien numéro de classement),sculpture,statuette,,Vierge à l'Enfant,anonyme,,"France, Bourgogne, Côte-d'Or, Auxonne (lieu d'utilisation)",17e siècle,,,,pratique votive : culte de la Vierge,,,H. en cm 42.5 ; L. en cm 20 ; E. en cm 12,"pierre, polychromie",,,"figure biblique (Vierge à l'Enfant, Vierge, Enfant Jésus)",,,propriété de la commune ; mode d'acquisition inconnu ; Auxonne ; musée Bonaparte,,,,01320017082,Auxonne;musée Bonaparte,M0132,2012-01-23,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Auxonne,"47.193906,5.386985"
2010.0.419 ; RR26 (Ancien numéro de classement),estampe;histoire,,,"Souvenir de la cavalcade, Auxonne",JOBARD Eugène (lithographe),"JOBARD : 19 janvier 1828 à Bruxelles ; Dijon, 30 mars 1902.","France, Bourgogne, Côte-d'Or, Dijon (lieu de création)",3e quart 19e siècle,1857/03/22,,,,,,H. en cm 42 ; L. en cm 31.5,"gravure, papier",,,"scène (Auxonne, fête, cavalcade, cavalier, homme, femme, habit, robe, déguisement, ornement à forme végétale, fleur, foule, musique, offrande, cheval)",,,propriété de la commune ; mode d'acquisition inconnu ; Auxonne ; musée Bonaparte,,,,01320017206,Auxonne;musée Bonaparte,M0132,2012-01-23,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Auxonne,"47.193906,5.386985"
2010.0.464,estampe,,,Révolte de Pavie,"COINY Jacques Joseph (graveur) ; VERNET Carle (d'après, dessinateur)","COINY : ?, 1761 ; ?, 1809",,1er quart 19e siècle,,19e siècle,,,,,H. en cm 31 ; L. en cm 47,"gravure, papier",,,"scène historique (Pavie, armée, bataille, révolte, ville, architecture)",,,propriété de la commune ; mode d'acquisition inconnu ; Auxonne ; musée Bonaparte,,,,01320017251,Auxonne;musée Bonaparte,M0132,2012-01-23,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Auxonne,"47.193906,5.386985"
2010.0.748 ; R56 (Ancien numéro de classement),sculpture,statuette,,Cratère grec,anonyme,,,19e siècle,,,,,,,H. en cm 48.5 ; D. en cm 44,"plâtre, moulé",,,,,,propriété de la commune ; mode d'acquisition inconnu ; Auxonne ; musée Bonaparte,,,,01320017538,Auxonne;musée Bonaparte,M0132,2012-01-23,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Auxonne,"47.193906,5.386985"
2011.0.29,estampe,,,enfant regardant une miniature ; Jeune enfant tenant une miniature,"GONZALEA (?, d'après) ; MACRET Charles François Adrien","MACRET : Abbeville, 1751 ; Paris, 1789",,4e quart 18e siècle,,,,,,,"l. 40 cm ; H. 50 cm (Feuille) ; l. 31,9 cm ; H. 42,5 cm (Fenêtre)","papier, taille-douce, eau-forte",,,"portrait d'inconnu (enfant, assis, costume : noblesse, robe, chaise, table, intérieur) ; ornementation (en médaillon)",,,propriété de la commune ; mode d'acquisition inconnu ; Abbeville ; musée Boucher de Perthes,date d'acquisition inconnue,,,M0811000092,Abbeville;musée Boucher de Perthes,M0811,2012-02-03,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Abbeville,"50.104441,1.834007"
2011.0.42,estampe,,,La famille du forgeron,LE NAIN (d'après) ; LEVASSEUR Jean Charles (graveur),"LEVASSEUR : Abbeville, 1734 ; Paris, 1816 ;",,2e quart 18e siècle,1746,17e siècle,,,,,"l. 43 cm ; H. 58 cm (Feuille) ; l. 29,5 cm ; H. 42 cm (Fenêtre)","papier, taille-douce, eau-forte",,,"scène (intérieur : forge, homme, forgeage, femme, famille, paysan, garçon, pauvreté, ouvrier, fondeur, enclume, fourneau)",,,propriété de la commune ; mode d'acquisition inconnu ; Abbeville ; musée Boucher de Perthes,date d'acquisition inconnue,,,M0811000107,Abbeville;musée Boucher de Perthes,M0811,2012-02-03,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Abbeville,"50.104441,1.834007"
2011.0.50,estampe,,,L'amour sur les eaux ; Amours sur les eaux (autre titre) ; Putti sur les eaux (autre titre),BOUCHER François (d'après) ; LEVASSEUR Jean Charles (graveur),"BOUCHER : Paris, 1703 ; Paris, 1770 ; LEVASSEUR : Abbeville, 1734 ; Paris, 1816",,3e quart 18e siècle,1758,18e siècle,,,,,"l. 29,9 cm ; H. 22,3 cm","papier, taille-douce, eau-forte",,,"scène (putti, nudité, ciel, nuée, mer, jeu)",,,propriété de la commune ; mode d'acquisition inconnu ; Abbeville ; musée Boucher de Perthes,date d'acquisition inconnue,,,M0811000117,Abbeville;musée Boucher de Perthes,M0811,2012-02-03,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Abbeville,"50.104441,1.834007"
76.28.2,estampe,,,Pavillon de Musique de Louveciennes ; Vue du pavillon de Lucienne,TESTARD (dessinateur) ; BELLET (graveur) ; CAMPION (éditeur),,"France, Ile-de-France, Paris (lieu de création)",2e moitié 18e siècle,,,,,,,Hauteur avec cadre en cm : 29.7 ; Largeur avec cadre en cm : 25.2,"eau-forte, papier, encre, aquarelle",,,"vue d'architecture (Louveciennes, arbre, pavillon, voilier, barque)",,,propriété du syndicat intercommunal ; achat ; Louveciennes ; musée Promenade de Marly-le-Roi - Louveciennes,1976,,,03900001630,Louveciennes;musée Promenade de Marly-le-Roi - Louveciennes,M0390,2012-01-16,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Louveciennes,"48.859264,2.115424"
2010.0.15 ; SN 69 (Ancien Numéro),numismatique,jeton;médaille,,Jeton : les globes de Coronelli. 1705,anonyme,,,1er quart 18e siècle,1705,,,,,,Diamètre en cm : 2.7,"argent, frappé",,,"portrait (Louis XIV, en buste, de profil)#représentation d'objet (globe, terre, ciel, soleil)",,,propriété du syndicat intercommunal ; achat en vente publique ; Louveciennes ; musée Promenade de Marly-le-Roi - Louveciennes,1977,,,03900002876,Louveciennes;musée Promenade de Marly-le-Roi - Louveciennes,M0390,2012-01-16,2012-01-24,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Louveciennes,"48.859264,2.115424"
VM 175 B,estampe;sciences - techniques,,,La Machine,FER Nicolas de (graveur),"FER : ?, 1646 ; ?, 1720, octobre 15",,1er quart 18e siècle,,,,,,,Hauteur en cm : 33 ; Largeur en cm : 42,"eau-forte, papier, encre, aquarelle, gouache",,,"représentation d'objet (machine : énergie hydraulique, Bougival, Louveciennes, Seine)",,,propriété du syndicat intercommunal ; don ; Louveciennes ; musée Promenade de Marly-le-Roi - Louveciennes,1982,,,03900001493,Louveciennes;musée Promenade de Marly-le-Roi - Louveciennes,M0390,2012-01-16,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Louveciennes,"48.859264,2.115424"
2011.0.1101,estampe,,,Le Château d'Etelan,BENOIST Félix (d'après) ; CHARPENTIER (lithographe),"Benoist Félix : Saumur,  1813 ; Nantes, 1896",,3e quart 19e siècle,,,,,,,H. 36  l. 44 cm,lithographie;papier,,,"vue d'architecture (château, Saint-Maurice-d'Etelan)",,,propriété privée personne morale ; mode d'acquisition inconnu ; association des Amis du Vieux Caudebec,date d'acquisition inconnue,,,M0710000200,Caudebec-en-Caux;musée Biochet-Bréchot;maison des Templiers,M0710,2011-12-12,2012-05-04,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Caudebec-en-Caux,"49.522701,0.755164"
99.5.1,peinture,,,Saint Jérôme au pied de la croix,anonyme,,,,,,,,,,Hauteur en m 0.55 ; Largeur en m 0.462,"toile, peinture à l'huile",,,"scène biblique (Crucifixion, Christ en croix, saint Jérôme, accroupi, prière, Vierge, en pied, de trois-quarts, saint Jean, en pied, de face) ; armoiries",,,propriété de la commune ; achat ; Lavaur ; musée du pays vaurais,1999,,,06010000149,Lavaur;musée du pays vaurais,M0601,2014-09-11,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Lavaur,"43.698113,1.818029"
1999.1.5 ; 10006 (Inventaire Dini),peinture,tableau,,Bords de rivière,APPIAN Adolphe,"APPIAN : Lyon, 1818, août, 23 ; Lyon, 1898, avril, 29 ; nationalité : Française",,4e quart 19e siècle,,,,,,,Hauteur en cm 26.5 ; Longueur en cm 40 ; Hauteur avec cadre en cm 42.5 ; Longueur avec cadre en cm 56.5,"peinture à l'huile, toile",,,paysage (rivière),,,propriété de la commune ; donation ; Villefranche-sur-Saône ; musée Paul Dini,1999,,,10410000011,Villefranche-sur-Saône;musée Paul Dini,M1041,2013-09-26,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Villefranche-sur-Saône,"45.989005,4.718295"
D.65.1.5 ; Inv. A.M. : I de P-387,peinture,tableau,,L'Amitié,"FOUJITA Tsugouharu, FOUJITA Léonard","Tokyo, 1886 ; Zurich, 1968",,1er quart 20e siècle,1924,,,,,,"l. 89,5 cm ; H. 147 cm",toile (peinture à l'huile),,,,,,propriété de l'Etat ; mode d'acquisition inconnu ; musée d'art moderne,,1965/03/12,,M0072003276,Libourne;musée des beaux-arts et d'archéologie,M0072,2013-07-22,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,déposé ; Libourne ; musée des beaux-arts et d'archéologie,Libourne,"44.91465,-0.244728"
02.1.43,sculpture,,,Scène du Jugement dernier  : 'L'Enfer',anonyme,,,15e siècle,,,,,,,"l. 27 cm ; H. 42 cm ; E. 4.5 cm ; VOLUM. 0,0051",albâtre,,,,,,propriété de la commune ; don ; Libourne ; musée des beaux-arts et d'archéologie,19e siècle,,,M0072003494,Libourne;musée des beaux-arts et d'archéologie,M0072,2013-08-30,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Libourne,"44.91465,-0.244728"
49.1.2,sculpture,,,"Buste d'Hector Robin, père",GRANET Pierre,"Villenave d'Ornon, 1843 - ?, 1910",,2e moitié 19e siècle;1er quart 20e siècle,,,,,,,"l. 51 cm ; H. 51 cm ; E. 30 cm ; VOLUM. 0,078",marbre blanc,,,,,,propriété de la commune ; don ; Libourne ; musée des beaux-arts et d'archéologie,1949,,,M0072003507,Libourne;musée des beaux-arts et d'archéologie,M0072,2013-08-30,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Libourne,"44.91465,-0.244728"
